eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unTxDeviceIdL1,unTxDeviceIdL2,unTxDeviceIdL3,usTxSwVerL1,usTxSwVerL2,usTxSwVerL3,usTxHwVerL1,usTxHwVerL2,usTxHwVerL3,unRxTargetDeviceId,eChannel,sPower,eBandwidth,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32,ulRxTimeStampL1,ulRxTimeStampL2,ulRxTimeStampL3,ulLatencyL1(us),ulLatencyL2(us),ulLatencyL3(us),unRxDeviceIdL1,unRxDeviceIdL2,unRxDeviceIdL3,usRxSwVerL1,usRxSwVerL2,usRxSwVerL3,usRxHwVerL1,usRxHwVerL2,usRxHwVerL3,unRxVehicleSpeed,unTotalCommDevCnt,usRssi,eRsvLevel,usCommDistance,nRxLatitude,nRxLongitude,nRxAttitude,ucErrIndicator,ulTotalPacketCnt,ulTotalErrCnt,unPdr(percent),unPer(percent)
1,31,23040015,2024042417321073909,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532717453,2022042903140777685,2024042417321073909,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646589,35.646589,0.000000,13960,60,0,0,0x2dad916a,2023091414532718153,2022042902461667471,2024042417321074731,700,-679110214,822,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13960,0,100.000,0.000
1,31,23040015,2024042417321083942,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532727481,2022042903140787717,2024042417321083942,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646589,35.646589,0.000000,13961,61,0,0,0xf8e4f85d,2023091414532728309,2022042902461677629,2024042417321084811,828,-679110088,869,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13961,0,100.000,0.000
1,31,23040015,2024042417321093956,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532737463,2022042903140797726,2024042417321093956,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646589,35.646589,0.000000,13962,62,0,0,0xc5a8bc86,2023091414532738052,2022042902461687370,2024042417321094891,589,-679110356,935,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13962,0,100.000,0.000
1,31,23040015,2024042417321103985,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532747507,2022042903140807752,2024042417321103985,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646589,35.646589,0.000000,13963,63,0,0,0x738f5892,2023091414532748607,2022042902461697926,2024042417321105979,1100,-679109826,1994,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13963,0,100.000,0.000
1,31,23040015,2024042417321113996,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532757557,2022042903140817766,2024042417321113996,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646589,35.646589,0.000000,13964,64,0,0,0x7544ce26,2023091414532758073,2022042902461707408,2024042417321115054,516,-679110358,1058,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13964,0,100.000,0.000
1,31,23040015,2024042417321124027,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532767556,2022042903140827799,2024042417321124027,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646589,35.646589,0.000000,13965,65,0,0,0x1a1f6ac0,2023091414532768653,2022042902461717973,2024042417321125134,1097,-679109826,1107,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13965,0,100.000,0.000
1,31,23040015,2024042417321134056,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532777611,2022042903140837825,2024042417321134056,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646589,35.646589,0.000000,13966,66,0,0,0x3cd38eb9,2023091414532778057,2022042902461727378,2024042417321135216,446,-679110447,1160,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13966,0,100.000,0.000
1,31,23040015,2024042417321144086,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532787620,2022042903140847854,2024042417321144086,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646588,35.646588,0.000000,13967,67,0,0,0x9efea004,2023091414532788607,2022042902461737929,2024042417321145300,987,-679109925,1214,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13967,0,100.000,0.000
1,31,23040015,2024042417321154097,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532797626,2022042903140857865,2024042417321154097,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646588,35.646588,0.000000,13968,68,0,0,0xb6365f61,2023091414532798153,2022042902461747476,2024042417321155380,527,-679110389,1283,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13968,0,100.000,0.000
1,31,23040015,2024042417321164110,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532807676,2022042903140867891,2024042417321164110,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646588,35.646588,0.000000,13969,69,0,0,0x8b517438,2023091414532808503,2022042902461757823,2024042417321165459,827,-679110068,1349,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13969,0,100.000,0.000
